Program,What needs doing,Done?
agriculture,update,done
amf,,
amp,,
ase,,
bas,,
bba,,
biology,,
bomp,,
bsindt,,
bsis,,
bullybundles,nothing,done
caba,,
camc,,
cee,,
chemeng,,
cme,,
cmll,,
comm,,
conservation,,
cse,,
ece,,
edld,,
elem,,
engineering,,
engineeringed,,
engs,,
ensc,,
epy,,
forestry,,
gis,,
gmat_purchase,nothing,done
hdfs,,
health,,
history,,
incomplete_apps,nothing,done
info_sessions,nothing,done
ise,,
iswd,,
mabm,,
matced,,
mats,,
matx,,
mba,,
mba-pm,,
me,,
msase,,
mscee,,
mschemeng,,
mscme,,
mscse,,
mscyso,,
msece,,
msei,,
msgb,,
msis,,
msise,,
msit,,
msme,,
mtpa,,
phase,,
phcee,,
phchemeng,,
phcl,,
phcme,,
phcse,,
phece,,
phise,,
phme,,
psychology,,
sbp,,
seed,,
snd,,
tig,,
veterans,,
vision,,
wel,,
wellness,,
